PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
30,https://noctalia.app/en/,,text/plain;charset=utf-8,false,301,0,https://noctalia.app/,200,,,https://noctalia.app/,200,false,129,0,https://noctalia.app/
0,http://noctalia.app/,,text/html; charset=utf-8,false,301,0,https://noctalia.app/,200,,,https://noctalia.app/,200,false,0,0,
0,http://www.noctalia.app/,,text/html; charset=utf-8,false,301,0,https://www.noctalia.app/,301,,,"https://www.noctalia.app/
https://noctalia.app/","301
200",false,0,0,
0,https://www.noctalia.app/,,text/html; charset=utf-8,false,301,0,https://noctalia.app/,200,,,https://noctalia.app/,200,false,1,1,
