date,clicks,impressions,ctr,position
2026-09-02,0,33,0,12.969696969696969
2026-09-03,0,27,0,11.25925925925926
2026-09-04,0,46,0,10.934782608695652
2026-09-05,0,32,0,11.375
2026-09-06,0,34,0,14.176470588235293
