date,clicks,impressions,ctr,position
2026-08-25,322,32210,0.00999689537410742,6.739211425023285
2026-08-26,257,32396,0.00793307815779726,6.903414001728608
2026-08-27,292,31320,0.009323116219667945,6.806226053639847
2026-08-28,250,28861,0.008662208516683414,7.053636395135304
2026-08-29,263,30970,0.008492089118501776,7.034000645786245
2026-08-30,319,33923,0.009403649441381954,7.06650355216225
2026-08-31,281,31366,0.008958745138047567,6.9736019894152905
2026-09-01,278,32127,0.008653157780060386,6.766644878139882
2026-09-02,273,33559,0.008134926547274948,7.116541017312793
2026-09-03,261,31959,0.008166713601802308,7.157795926030226
2026-09-04,274,32142,0.008524671769024952,7.159697591935785
2026-09-05,290,32845,0.008829349977165474,7.1078094078246306
2026-09-06,336,37205,0.0090310442144873,6.8144604219862925
