country,device,clicks,impressions,ctr,position
ita,MOBILE,9,1074,0.008379888268156424,7.298882681564246
aus,DESKTOP,0,1,0,15
bra,DESKTOP,0,1,0,65
che,DESKTOP,0,1,0,2
chl,DESKTOP,0,1,0,14
esp,DESKTOP,0,1,0,8
fra,DESKTOP,0,1,0,11
idn,MOBILE,0,1,0,6
ita,DESKTOP,0,111,0,10.495495495495495
ita,TABLET,0,21,0,7.476190476190476
jpn,MOBILE,0,1,0,12
kor,MOBILE,0,1,0,7
mar,DESKTOP,0,1,0,1
pak,MOBILE,0,1,0,17
smr,MOBILE,0,1,0,2
usa,DESKTOP,0,2,0,33
vnm,DESKTOP,0,1,0,33
