period,cluster,visible_queries,clicks,impressions,ctr,position
before,eau/inondation,23,0,226,0.0,8.544247787610619
before,maison inconnue,7,2,309,0.006472491909385114,5.951456310679611
before,autres maisons,64,7,686,0.01020408163265306,8.236151603498543
after,eau/inondation,29,3,849,0.0035335689045936395,7.131919905771496
after,maison inconnue,7,3,279,0.010752688172043012,3.8960573476702507
after,autres maisons,70,3,673,0.004457652303120356,8.769687964338782
