date,clicks,impressions,ctr,position
2026-08-09,1,265,0.0037735849056603774,7.588679245283019
2026-08-10,0,272,0,7.742647058823529
2026-08-11,1,304,0.003289473684210526,7.578947368421052
2026-08-12,0,333,0,7.135135135135135
2026-08-13,0,315,0,6.7555555555555555
2026-08-14,0,321,0,7.102803738317757
2026-08-15,1,282,0.0035460992907801418,6.925531914893617
2026-08-16,1,325,0.003076923076923077,6.889230769230769
2026-08-17,3,368,0.008152173913043478,6.894021739130435
2026-08-18,3,405,0.007407407407407408,6.735802469135803
2026-08-19,4,349,0.011461318051575931,6.974212034383954
2026-08-20,0,356,0,7.179775280898877
2026-08-21,0,347,0,6.7982708933717575
2026-08-22,2,358,0.00558659217877095,6.776536312849162
2026-08-23,0,421,0,7.066508313539193
2026-08-24,0,389,0,6.768637532133676
2026-08-25,2,398,0.005025125628140704,7.005025125628141
2026-08-26,3,394,0.007614213197969543,6.774111675126903
2026-08-27,0,362,0,7.45303867403315
2026-08-28,1,328,0.003048780487804878,7.996951219512195
2026-08-29,2,346,0.005780346820809248,8.323699421965319
2026-08-30,0,338,0,7.180473372781065
2026-08-31,3,341,0.008797653958944282,7.170087976539589
2026-09-01,1,334,0.0029940119760479044,6.9640718562874255
2026-09-02,1,357,0.0028011204481792717,7.299719887955182
2026-09-03,0,302,0,6.913907284768212
2026-09-04,2,338,0.005917159763313609,7.304733727810651
2026-09-05,1,340,0.0029411764705882353,6.920588235294118
